run,commits,criterion_3,criterion_5,criterion_6,criterion_7
run-10-rep-03,19,Pass,Unverifiable,Pass,Pass
run-10-rep-03,20,Pass,Unverifiable,Unverifiable,Unverifiable
run-10-rep-04,1,Pass,Unverifiable,Pass,Pass
run-10-rep-04,2,Pass,Unverifiable,Pass,Unverifiable
run-10-rep-04,3,Pass,Unverifiable,Unverifiable,Unverifiable
run-10-rep-04,4,Pass,Pass,Pass,Pass
run-10-rep-04,5,Pass,Unverifiable,Unverifiable,Unverifiable
run-10-rep-04,6,Pass,Unverifiable,Unverifiable,Unverifiable
run-10-rep-04,7,Pass,Unverifiable,Unverifiable,Unverifiable
run-10-rep-04,8,Pass,Unverifiable,Pass,Pass
run-10-rep-04,9,Pass,Unverifiable,Unverifiable,Unverifiable
run-10-rep-04,10,Pass,Unverifiable,Unverifiable,Unverifiable
run-10-rep-04,11,Pass,Unverifiable,Unverifiable,Unverifiable
run-10-rep-04,12,Pass,Unverifiable,Unverifiable,Unverifiable
run-10-rep-04,13,Pass,Unverifiable,Unverifiable,Unverifiable
run-10-rep-04,14,Pass,Unverifiable,Unverifiable,Unverifiable
run-10-rep-04,15,Pass,Unverifiable,Unverifiable,Unverifiable
run-10-rep-04,16,Pass,Unverifiable,Unverifiable,Unverifiable
run-10-rep-04,17,Pass,Unverifiable,Unverifiable,Unverifiable
run-10-rep-04,18,Pass,Unverifiable,Unverifiable,Unverifiable
run-10-rep-04,19,Pass,Unverifiable,Pass,Pass
run-10-rep-04,20,Pass,Unverifiable,Unverifiable,Unverifiable
run-10-rep-05,1,Pass,Unverifiable,Pass,Pass
run-10-rep-05,2,Pass,Unverifiable,Pass,Unverifiable
run-10-rep-05,3,Pass,Unverifiable,Unverifiable,Unverifiable
run-10-rep-05,4,Pass,Pass,Pass,Pass
run-10-rep-05,5,Pass,Unverifiable,Unverifiable,Unverifiable
run-10-rep-05,6,Fail,Unverifiable,Pass,Unverifiable
run-10-rep-05,7,Pass,Unverifiable,Unverifiable,Unverifiable
run-10-rep-05,8,Pass,Unverifiable,Pass,Pass
run-10-rep-05,9,Pass,Unverifiable,Unverifiable,Unverifiable
run-10-rep-05,10,Pass,Unverifiable,Unverifiable,Unverifiable
run-10-rep-05,11,Pass,Unverifiable,Unverifiable,Unverifiable
run-10-rep-05,12,Pass,Unverifiable,Unverifiable,Unverifiable
